ticker,date,open,high,low,close
DIST,2023-03-30,10.2,10.2,10.15,10.16
DIST,2023-03-31,10.16,10.18,10.15,10.16
DIST,2023-04-03,10.18,10.18,10.16,10.16
DIST,2023-04-04,10.15,10.17,10.15,10.16
DIST,2023-04-05,10.17,10.175,10.16,10.17
DIST,2023-04-06,10.19,10.19,10.17,10.17
DIST,2023-04-10,10.17,10.1787,10.17,10.1787
DIST,2023-04-11,10.17,10.19,10.17,10.18
DIST,2023-04-12,10.18,10.19,10.18,10.19
DIST,2023-04-13,11.17,11.17,10.18,10.1953
DIST,2023-04-14,10.2,10.895,10.18,10.23
DIST,2023-04-17,10.29,10.29,10.245,10.26
DIST,2023-04-18,10.275,10.275,10.26,10.26
DIST,2023-04-19,10.27,10.28,10.27,10.2752
DIST,2023-04-20,10.275,10.275,10.27,10.27
DIST,2023-04-21,10.28,10.28,10.26,10.265
DIST,2023-04-24,10.27,10.29,10.265,10.28
DIST,2023-04-25,10.29,10.29,10.27,10.2702
DIST,2023-04-26,10.28,10.28,10.28,10.28
DIST,2023-05-02,10.37,10.37,10.26,10.33
DIST,2023-05-04,10.26,10.32,10.22,10.32
DIST,2023-05-08,10.27,10.31,10.27,10.31
DIST,2023-05-09,10.22,10.23,10.22,10.23
DIST,2023-05-11,10.2485,10.2485,10.23,10.23
DIST,2023-05-12,10.23,10.26,10.23,10.26
DIST,2023-05-15,10.26,10.27,10.26,10.27
DIST,2023-05-17,10.34,10.34,10.34,10.34
DIST,2023-05-18,10.2586,10.3279,10.25,10.3279
DIST,2023-05-19,10.24,10.24,10.24,10.24
DIST,2023-05-22,10.29,10.29,10.29,10.29
DIST,2023-05-23,10.2986,10.32,10.2986,10.32
DIST,2023-05-25,10.29,10.29,10.29,10.29
DIST,2023-05-26,10.2973,10.3,10.2973,10.3
DIST,2023-05-30,10.2604,10.2604,10.26,10.26
DIST,2023-06-05,10.2804,10.2895,10.28,10.28
DIST,2023-06-08,10.28,10.28,10.28,10.28
DIST,2023-06-12,10.28,10.28,10.28,10.28
DIST,2023-06-14,10.29,10.29,10.29,10.29
DIST,2023-06-21,10.295,10.2968,10.295,10.2968
DIST,2023-06-22,10.3,10.32,10.3,10.32
DIST,2023-06-27,10.32,10.32,10.32,10.32
DIST,2023-06-29,10.32,10.3204,10.32,10.32
DIST,2023-07-07,10.35,10.35,10.35,10.35
DIST,2023-07-10,10.35,10.35,10.35,10.35
DIST,2023-07-12,10.35,10.3566,10.35,10.3566
DIST,2023-07-13,10.35,10.35,10.35,10.35
DIST,2023-07-14,10.37,10.3704,10.37,10.37
DIST,2023-07-17,10.385,10.385,10.385,10.385
DIST,2023-07-18,10.4106,10.4106,10.38,10.38
DIST,2023-07-19,10.42,10.42,10.42,10.42
DIST,2023-07-20,10.39,10.39,10.39,10.39
