,open,high,low,close
0,0.5062461,0.49429005,0.54193056,0.47024405
1,0.5064421,0.49462587,0.5421318,0.47024626
2,0.5063798,0.49502844,0.5421341,0.47070283
3,0.50715715,0.4952309,0.5427995,0.47083485
4,0.50670725,0.4949665,0.5424039,0.47018802
5,0.505676,0.49376833,0.5418094,0.46960604
6,0.5054844,0.4946378,0.5420106,0.4699977
7,0.5052929,0.49403983,0.5420129,0.46941572
8,0.5049721,0.4937088,0.5416837,0.46922326
9,0.5047806,0.4939112,0.5410892,0.46967983
10,0.5058164,0.49384695,0.54148924,0.46896803
11,0.5052373,0.49418277,0.5414252,0.4700737
12,0.50627303,0.4943185,0.54209065,0.46949172
13,0.5055001,0.49412078,0.5414298,0.4699483
14,0.50543773,0.49405646,0.5419625,0.4699505
15,0.50595677,0.49399215,0.5417659,0.46904397
16,0.50492543,0.49346095,0.54150295,0.46924096
17,0.5054445,0.49359673,0.5413064,0.4687239
18,0.50492996,0.4937992,0.5405129,0.46859628
19,0.504803,0.49433517,0.5413772,0.47022122
20,0.5068723,0.49493778,0.5422647,0.47022337
21,0.5062286,0.49453998,0.54244334,0.4700309
22,0.5058433,0.49387538,0.54204714,0.46970856
23,0.50552255,0.49394447,0.54145265,0.46932137
24,0.5053148,0.49399686,0.54143834,0.4694534
25,0.50468725,0.49414927,0.5413909,0.469845
26,0.505723,0.49481863,0.54193294,0.47023666
27,0.50630665,0.4951545,0.54265594,0.4709528
28,0.507084,0.4960906,0.5433896,0.47166902
29,0.5077968,0.49595964,0.54411864,0.47147655
30,0.5072823,0.49556178,0.5429274,0.47018063
31,0.50625104,0.49463046,0.54220027,0.4694689
32,0.50541353,0.49343228,0.54147315,0.46895182
33,0.5047052,0.49283576,0.5406798,0.46798044
34,0.50380313,0.49179763,0.5392233,0.4672038
35,0.5029656,0.490905,0.53856254,0.4668166
36,0.5025803,0.49070728,0.5378355,0.4660399
37,0.50200117,0.49137658,0.5383682,0.46708065
38,0.50329536,0.49264616,0.53982925,0.46844584
39,0.5044603,0.4937824,0.5411576,0.46974617
40,0.50594825,0.49405158,0.5406295,0.46858007
41,0.5044002,0.49282002,0.5404991,0.46858233
42,0.50395024,0.49292248,0.54063404,0.46851957
43,0.5045338,0.4928581,0.5409679,0.46865165
44,0.5047945,0.49279386,0.540506,0.46806973
45,0.50415075,0.49299628,0.54047847,0.46872097
46,0.5044114,0.49293196,0.53925073,0.4687881
47,0.5042199,0.49306774,0.5409107,0.4684009
48,0.50351155,0.49300343,0.54018354,0.46885747
49,0.5048057,0.4932726,0.541512,0.46918422
50,0.50487256,0.494242,0.541515,0.46970564
51,0.5055853,0.4938776,0.5419934,0.46964294
52,0.50571674,0.49401337,0.54161835,0.4693855
53,0.5056544,0.49388236,0.5409244,0.4688685
54,0.5048815,0.49388468,0.5412589,0.4695198
55,0.5054651,0.49348688,0.5403985,0.46809405
56,0.5044338,0.49328917,0.5407986,0.46874535
57,0.5042423,0.49309146,0.5405357,0.46796864
58,0.5039861,0.49216014,0.54019916,0.46790594
59,0.5039238,0.49316293,0.54007614,0.4690765
60,0.5049434,0.4935155,0.5412222,0.46912742
61,0.5052848,0.49363458,0.5416057,0.46914583
62,0.50489944,0.4937703,0.541608,0.46966732
63,0.5054184,0.49437296,0.54114616,0.46921515
64,0.5051623,0.49334157,0.5401538,0.4683736
65,0.50432485,0.49377745,0.54073364,0.46915472
66,0.50490844,0.4947803,0.54161716,0.47039014
67,0.50665474,0.49604988,0.54327714,0.47182024
68,0.5081427,0.49625236,0.54394245,0.47169262
69,0.5078219,0.49592125,0.5431491,0.47059143
70,0.5064031,0.49528998,0.5428198,0.47052878
71,0.50834316,0.49645954,0.54268944,0.47033626
72,0.5044697,0.49279362,0.5391775,0.46754754
73,0.50292164,0.49212903,0.53918046,0.46735507
74,0.5031177,0.49206477,0.53957987,0.4674222
75,0.5032168,0.49281746,0.5398308,0.46800852
76,0.5032514,0.49306995,0.53991604,0.46820545
77,0.50409335,0.49267215,0.5399183,0.46827257
78,0.5042894,0.49307466,0.5403847,0.46775556
79,0.5035811,0.49200994,0.5391935,0.4673034
80,0.50351876,0.49187893,0.53939474,0.46724075
81,0.50319797,0.49154782,0.53899914,0.4663992
82,0.5022313,0.49041635,0.5380068,0.46601194
83,0.5019752,0.49038345,0.5382743,0.46588433
84,0.50191283,0.49002093,0.5380114,0.46562696
85,0.5015921,0.4902234,0.5382126,0.4662782
86,0.50175583,0.4901924,0.53821486,0.46592343
87,0.5019195,0.49016148,0.5382172,0.46556866
88,0.50140506,0.4894969,0.5366944,0.4647271
89,0.5006967,0.48915577,0.53729343,0.46505386
90,0.50095737,0.48950166,0.5374999,0.46518588
91,0.5012826,0.48963743,0.5376959,0.46564245
92,0.5016078,0.48997325,0.53822863,0.46557975
93,0.5017392,0.48984224,0.5380982,0.46551704
94,0.5015477,0.48957783,0.53737116,0.4652596
95,0.5014853,0.48944616,0.5372229,0.46500224
96,0.50142294,0.48988277,0.53803885,0.46591318
97,0.5016836,0.49011922,0.53823996,0.46585047
98,0.50194424,0.4901876,0.5382423,0.46617717
99,0.50220484,0.49012327,0.5381119,0.46553034
